Group,Field,Gender,University,Semester
Data Science (Female) -  Group 2,Data Science,Female,COMSATS University Islamabad,Fresher
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,IIUI,Graduated
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,University of education lahore,Graduated
AI/ML (Female) -  Group 2,AI/ML,Female,PMAS Arid Agriculture University Rawalpindi,Graduated
AI/ML (Female) -  Group 2,AI/ML,Female,Peace and conflict study,Graduated
AI/ML (Female) -  Group 5,AI/ML,Female,Punjab University Lahore,Graduated
AI/ML (Female) -  Group 6,AI/ML,Female,Syeda Arfa Batool,Graduated
AI/ML (Female) -  Group 6,AI/ML,Female,National University of Modern Languages (NUML) Islamabad,Graduated
AI/ML (Female) -  Group 7,AI/ML,Female,University of Haripur,Graduated
AI/ML (Male) -  Group 1,AI/ML,Male,NUST,Graduated
AI/ML (Male) -  Group 1,AI/ML,Male,University of engineering and technology Peshawar,Graduated
AI/ML (Male) -  Group 2,AI/ML,Male,National University of Modern Languages (NUML) Islamabad,Graduated
AI/ML (Male) -  Group 3,AI/ML,Male,Al-Khair University (AJK),Graduated
AI/ML (Male) -  Group 4,AI/ML,Male,Air University Islamabad,Graduated
AI/ML (Male) -  Group 5,AI/ML,Male,University of engineering and technology Peshawar,Graduated
AI/ML (Male) -  Group 5,AI/ML,Male,UET Taxila,Graduated
AI/ML (Male) -  Group 5,AI/ML,Male,National University of Modern Languages (NUML) Islamabad,Graduated
AI/ML (Male) -  Group 5,AI/ML,Male,COMSATS University Islamabad,Graduated
AI/ML (Male) -  Group 6,AI/ML,Male,The Islamia University of Bahawalpur,Graduated
AI/ML (Male) -  Group 6,AI/ML,Male,university of mianwali,Graduated
AI/ML (Male) -  Group 6,AI/ML,Male,PMAS Arid Agriculture University Rawalpindi,Graduated
AI/ML (Male) -  Group 7,AI/ML,Male,Islamia College peshawar,Graduated
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,Air University Islamabad,Graduated
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,Universidad del Norte,Graduated
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,University of Chakwal,Graduated
Business & Management (Female) -  Group 1,Business & Management,Female,NUST,Graduated
Business & Management (Female) -  Group 1,Business & Management,Female,Sukkur IBA,Graduated
Business & Management (Male) -  Group 1,Business & Management,Male,Benazir Bhutto Shaheed University Lyari Karachi,Graduated
Business & Management (Male) -  Group 1,Business & Management,Male,Muhammad Ali Jinnah University,Graduated
Data Science (Female) -  Group 2,Data Science,Female,COMSATS university Islamabad attock campus,Graduated
Data Science (Female) -  Group 2,Data Science,Female,Saanvi womens degreee and pg collegee,Graduated
Data Science (Male) -  Group 1,Data Science,Male,COMSATS university Islamabad attock campus,Graduated
Data Science (Male) -  Group 1,Data Science,Male,Muhammad Ali Jinnah University,Graduated
Data Science (Male) -  Group 1,Data Science,Male,Arid Agricultural University Rawalpindi,Graduated
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,University of Haripur,Graduated
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,Lahore Garrison University,Graduated
Marketing & Lead Generation (Female) -  Group 1,Marketing & Lead Generation,Female,Gcuf,Graduated
Marketing & Lead Generation (Female) -  Group 1,Marketing & Lead Generation,Female,HITEC University Taxilla,Graduated
Marketing & Lead Generation (Male) -  Group 1,Marketing & Lead Generation,Male,University of Lahore,Graduated
Marketing & Lead Generation (Male) -  Group 1,Marketing & Lead Generation,Male,Arfa Karim Technology Incubator,Graduated
Red Teaming (Male) -  Group 1,Red Teaming,Male,International Islamic University Islamabad,Graduated
Red Teaming (Male) -  Group 1,Red Teaming,Male,Gcuf,Graduated
Red Teaming (Male) -  Group 2,Red Teaming,Male,COMSATS University Islamabad,Graduated
Red Teaming (Male) -  Group 2,Red Teaming,Male,Fast university (NUCES) Karachi,Graduated
Red Teaming (Male) -  Group 3,Red Teaming,Male,Muhammad Ali Jinnah University,Graduated
SQA (Female) -  Group 1,SQA,Female,University of Education Lahore Multan campus,Graduated
SQA (Female) -  Group 1,SQA,Female,Bahria University,Graduated
Web Development (Female) -  Group 1,Web Development,Female,University of Central Punjab,Graduated
Web Development (Female) -  Group 4,Web Development,Female,University Of Sindh,Graduated
Web Development (Male) -  Group 1,Web Development,Male,CECOS University of IT & Emerging Science,Graduated
Web Development (Male) -  Group 1,Web Development,Male,Islamiya university of Bahawalpur bahawalnager campus,Graduated
Web Development (Male) -  Group 2,Web Development,Male,University of gujrat,Graduated
Web Development (Male) -  Group 3,Web Development,Male,Virtual University Of Pakistan,Graduated
Web Development (Male) -  Group 4,Web Development,Male,Tanta,Graduated
AI/ML (Female) -  Group 1,AI/ML,Female,"NUST, Islamabad",Last (MS)
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Muhammad Ali Jinnah University,null
AI/ML (Female) -  Group 6,AI/ML,Female,University of Haripur,null
AI/ML (Female) -  Group 7,AI/ML,Female,Karachi University,null
AI/ML (Male) -  Group 4,AI/ML,Male,Federal Urdu University of Arts Science and Technology,null
AI/ML (Male) -  Group 5,AI/ML,Male,NUML Multan,null
AI/ML (Male) -  Group 6,AI/ML,Male,Lahore Garrison University,null
AI/ML (Male) -  Group 7,AI/ML,Male,Foundation University,null
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,Virtual University Of Pakistan,null
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,Air University Islamabad,null
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,University of Engineering and Technology Taxila,null
Business & Management (Female) -  Group 1,Business & Management,Female,Bahria University,null
Business & Management (Male) -  Group 1,Business & Management,Male,Karachi University,null
Data Science (Female) -  Group 1,Data Science,Female,Air university Islamabad,null
HR (Female) -  Group 1,HR,Female,Rawalpindi Women University,null
HR (Female) -  Group 1,HR,Female,Virtual University Of Pakistan,null
Red Teaming (Male) -  Group 1,Red Teaming,Male,UOG,null
Web Development (Female) -  Group 4,Web Development,Female,Abasyn University Islamabad,null
Web Development (Female) -  Group 5,Web Development,Female,International Islamic University,null
Web Development (Male) -  Group 1,Web Development,Male,University of Education Lahore Multan campus,null
Web Development (Male) -  Group 2,Web Development,Male,Muhammad Ali Jinnah University,null
AI/ML (Female) -  Group 7,AI/ML,Female,"Hailey College of Commerce, University of the Punjab",Waiting for results of 8th sem
